IATA,City,Timezone
FFD,Fairford,Europe/London
BZZ,Brize Norton,Europe/London
ODH,Odiham,Europe/London
NHT,Northolt,Europe/London
QCY,Coningsby,Europe/London
BEQ,Honington,Europe/London
SQZ,Scampton,Europe/London
HRT,Linton-on-ouse,Europe/London
WTN,Waddington,Europe/London
KNF,Marham,Europe/London
MPN,Mount Pleasant,Atlantic/Stanley
AMS,Amsterdam,Europe/Amsterdam
MST,Maastricht,Europe/Amsterdam
EIN,Eindhoven,Europe/Amsterdam
GRQ,Groningen,Europe/Amsterdam
GLZ,Gilze-rijen,Europe/Amsterdam
DHR,De Kooy,Europe/Amsterdam
LEY,Lelystad,Europe/Amsterdam
LWR,Leeuwarden,Europe/Amsterdam
RTM,Rotterdam,Europe/Amsterdam
UTC,Soesterberg,Europe/Amsterdam
ENS,Enschede,Europe/Amsterdam
LID,Valkenburg,Europe/Amsterdam
WOE,Woensdrecht,Europe/Amsterdam
ORK,Cork,Europe/Dublin
GWY,Galway,Europe/Dublin
DUB,Dublin,Europe/Dublin
NOC,Connaught,Europe/Dublin
KIR,Kerry,Europe/Dublin
SNN,Shannon,Europe/Dublin
SXL,Sligo,Europe/Dublin
WAT,Waterford,Europe/Dublin
AAR,Aarhus,Europe/Copenhagen
BLL,Billund,Europe/Copenhagen
CPH,Copenhagen,Europe/Copenhagen
EBJ,Esbjerg,Europe/Copenhagen
KRP,Karup,Europe/Copenhagen
BYR,Laeso,Europe/Copenhagen
MRW,Maribo,Europe/Copenhagen
ODE,Odense,Europe/Copenhagen
RKE,Copenhagen,Europe/Copenhagen
RNN,Ronne,Europe/Copenhagen
SGD,Soenderborg,Europe/Copenhagen
SKS,Skrydstrup,Europe/Copenhagen
SQW,Skive,Europe/Copenhagen
TED,Thisted,Europe/Copenhagen
FAE,Vagar,Atlantic/Faroe
STA,Stauning,Europe/Copenhagen
AAL,Aalborg,Europe/Copenhagen
LUX,Luxemburg,Europe/Luxembourg
AES,Alesund,Europe/Oslo
ANX,Andoya,Europe/Oslo
ALF,Alta,Europe/Oslo
BNN,Bronnoysund,Europe/Oslo
BOO,Bodo,Europe/Oslo
BGO,Bergen,Europe/Oslo
BJF,Batsfjord,Europe/Oslo
KRS,Kristiansand,Europe/Oslo
DLD,Geilo,Europe/Oslo
BDU,Bardufoss,Europe/Oslo
EVE,Harstad/Narvik,Europe/Oslo
VDB,Fagernes,Europe/Oslo
FRO,Floro,Europe/Oslo
OSL,Oslo,Europe/Oslo
HAU,Haugesund,Europe/Oslo
HAA,Hasvik,Europe/Oslo
KSU,Kristiansund,Europe/Oslo
KKN,Kirkenes,Europe/Oslo
FAN,Farsund,Europe/Oslo
MOL,Molde,Europe/Oslo
MJF,Mosjoen,Europe/Oslo
LKL,Lakselv,Europe/Oslo
NTB,Notodden,Europe/Oslo
OLA,Orland,Europe/Oslo
RRS,Roros,Europe/Oslo
RYG,Rygge,Europe/Oslo
LYR,Svalbard,Arctic/Longyearbyen
SKE,Skien,Europe/Oslo
SRP,Stord,Europe/Oslo
SSJ,Sandnessjoen,Europe/Oslo
TOS,Tromso,Europe/Oslo
TRF,Sandefjord,Europe/Oslo
TRD,Trondheim,Europe/Oslo
SVG,Stavanger,Europe/Oslo
